date,name,group,impact,description,caption,image,title
2019-06-29,"Trade talks to restart, ban on Huawei relaxed",Both,5,"
The US and China agreed to restart trade talks, following the tentative truce reached earlier in the week. No deadline has been imposed for the talks unlike the 90-day ceasefire agreed to last year at the G20 Summit in Buenos Aires. This means that a new round of tit-for-tat tariffs will remain on hold for the foreseeable future.

More interestingly, President Trump also suggested relaxing the ban on US exports to China’s Huawei Technologies.

Both announcements bring immediate relief to Chinese trade negotiators who will now be keenly following the 2020 US elections.

During his press conference, Trump appeared short on specifics besides clarifying, “We’re holding back on tariffs” and stating that US companies were “not exactly happy” about being unable to sell to the Chinese smartphone maker. Previously, the US had blacklisted the company by placing it on its ‘entity list’ and banned the sale of high-tech components and software to Huawei.",,,
2019-06-26,Tentative truce reached days before G20 Summit,Both,5,"The US and China have agreed to a tentative truce in the lead up to their resumed trade talks in Osaka this weekend. Details of the agreement are being drawn up and are expected to be released prior to the meeting. The US has threatened 25 percent tariffs on a further US$300 billion of Chinese imports, which is expected to be halted. Sources quoted by the media suggest that Trump might propose a deadline of six months for the talks to reach an agreement. If this does culminate, it would mean the US would hold off on implementing further tariffs until the end of the year.",,,
2019-06-21,US adds another five Chinese entities to its ‘entity list’,US,5,"US Commerce Department announced the addition of five new Chinese entities (including a state-owned enterprise) to its entity list, barring them from buying US parts and components without prior government approval.  The new entities targeted are: Sugon, the Wuxi Jiangnan Institute of Computing Technology, Higon, Chengdu Haiguang Integrated Circuit, and Chengdu Haiguang Microelectronics Technology.",,,
2019-06-18,Xi and Trump rekindle trade talks ahead of G20 meeting,Both,5,"Xi and Trump reignite trade talks over the phone, less than two weeks before the much anticipated G20 Summit in Osaka, June 28 and 29. Both sides have confirmed that they will meet in person to discuss the ongoing trade dispute, on the sidelines of the Summit.

Previously, Trump threatened to slap tariffs on the remaining US$300 billion of untariffed Chinese imports, depending on the outcome of the trade talks. This will effect an array of consumer products, such as cellphones, computers, and clothing. These new tariffs have now been proposed in a bill, with public consultation set to end on July 2.",,,
2019-06-02,China issues white paper on US-China economic relations,Both,5,"China announces the release of a white paper titled, ‘China’s Position on the China-US Economic and Trade Consultations’ (full text can be found here). The white paper denounces US unilateral and protectionist measures, criticizes its backtracking on Sino-US trade talks, and demonstrates China’s stance on trade consultations and the pursuit of reasonable solutions.",,,
2019-06-01,China increases tariffs on US$60 billion worth of products,China,5,"
Tariffs of 25 percent, 20 percent, and 10 percent, which were first announced on May 13, 2019 are now in effect on US$60 billion worth of American goods exported to China.

The specific changes are as follows:

    Products in list 1 will be subject to a tariff of 25 percent, up from 10 percent;
    Products in list 2 will be subject to a tariff of 20 percent, up from 10 percent;
    Products in list 3 will be subject to a tariff of 10 percent, up from five percent; and
    Products in list 4 will still be subject to a 5 percent tariff.

Separately, China announces that it has opened an official investigation into US shipping company FedEx for diverting packages from Japan, bound for China – to the US.",,,
2019-05-31,China establishes its very own ‘unreliable entities’ list,Both,5,"
China announces that it will establish its very own unreliable entities list in retaliation to the US’ entity list.

The unreliable list will include foreign enterprises, organizations, and individuals that do not obey market rules, violate contracts, and block, cut off supply for non-commercial reasons, or severely damage the legitimate interests of Chinese companies.",,,
2019-05-16,"US places Huawei on its ‘entity list’, banning it from purchasing from US companies",US,5,"
The US Department of Commerce announces the addition of Huawei Technologies Co. Ltd and its affiliates on its “entity list’, which effectively bans US companies from selling to the Chinese telecommunications company without US government approval.",,,
2019-05-13,China announces tariff hikes on US products,China,5,"
China announces that it will increase tariffs on US$60 billion worth of US goods from June 1, 2019, in response to the tariff increases imposed by the US on May 10.

The tariffs will apply to products originally released in Announcement 6, which amends the tariffs announced last September.

Products affected include beef, lamb, pork, vegetables, juice, cooking oil, tea, coffee, refrigerators, and furniture, among many others.

Alongside tariff increases, the State Council Customs Tariff Committee have also launched a tariff exemption system for certain eligible products. (See full Chinese announcement here and unofficial English version here).

The USTR also announces that they will hold a public hearing on June 17, 2019 on the possibility of imposing 25 percent tariffs on a further US$300 billion worth of Chinese imports, including cellphones and laptops.",,,
2019-05-10,US increases tariff from 10 percent to 25 percent,Both,5,"
US increases tariffs on US$200 billion worth of Chinese goods (List 3) from 10 percent to 25 percent, as the US and China fail to reach a deal following the end of the first day of the eleventh round of high-level trade talks.

The tariff increase will be effective from May 10, 2019 at 12:01 am (EST), with goods leaving from China to the US before midnight still taxed at the previous 10 percent rate. (See full notice here).

In response, China’s Ministry of Commerce releases a statement announcing that it “deeply regrets” the tariffs and that “necessary countermeasures” will be taken.",,,
