date,name,group,impact,description
2000-03-18, "Chen Shui-bian was elected president of the Republic of China", major historical events, 5, https://zh.wikipedia.org/zh/2000%E5%B9%B4%E4%B8%AD%E8%8F%AF% E6%B0%91%E5%9C%8B%E7%B8%BD%E7%B5%B1%E9%81%B8%E8%88%89
2001-09-11, "Al Qaeda launched 9/11 terrorist attack", major historical events, 5,
2001-10-07, "the US military attacked Afghanistan The beginning of the war on terror", major historical events, 5,
2001-12-11, "China officially joined the WTO", major historical events, 5,
2001-04-01, "Sino-US South Sea collision incident", major historical events, 5, https://zh.wikipedia.org/zh-hans/%E4%B8%AD%E7%BE%8E%E6%92% 9E%E6%9C%BA%E4%BA%8B%E4%BB%B6
2013-01-15, "Inspector Network (cwzg.cn)", setup communist propaganda outlet, 5,
2013-12-31, "Kunlun Policy (kunlunce.cn)", setup communist propaganda outlet, 5,
2011-01-28, "Ocean Territory Online (haijiangzx.com)", setup communist propaganda outlet, 5,
2015-08-20, "Red Ethics think tank (hongdezk.com)", setup communist propaganda outlet, 5,
2005-12-21, "China Soul Network (1921.org.cn)", setup communist propaganda outlet, 5,
2014-06-24, "Conquer West Network (xizhengw.com)", setup communist propaganda outlet, 5,
2013-11-07, "Youth Power (qingnianli.com)", setup communist propaganda outlet, 5,
2013-04-22, "Red Culture Network (hswh.org.cn)", setup communist propaganda outlet, 5,
2014-05-12, "Strong Wind Network (strongwindhk.com)", setup communist propaganda outlet, 5,
2006-12-06, "Humanities and Society (wen.org.cn)", setup communist propaganda outlet, 5,
2012-02-06, "Strategic Operation (jingluecn.com)", setup communist propaganda outlet, 5,
2005-09-24, "Observer Network (guancha.cn)", setup communist propaganda outlet, 5,
2013-08-20, "The Paper News (thepaper.cn)", setup communist propaganda outlet, 5,
2003-06-20, "Global View (globalview.cn)", setup communist propaganda outlet, 5,
2010-02-03, "Red Song Club Network (szhgh.com)", setup communist propaganda outlet, 5,
2011-10-19, "Exclusive network (dooo.cc)", setup communist propaganda outlet, 5,
2013-04-26, "Revival Network (mzfxw.com)", setup communist propaganda outlet, 5,
2013-04-07, "China Collective Economic Network (ccenet.cn)", setup communist propaganda outlet, 5,
2014-03-18, "Violet Network Online (ziwzx.com)", setup communist propaganda outlet, 5,
2013-07-20, "Positive Energy Network (zhengnengliang.cn)", setup communist propaganda outlet, 5,
2002-05-02, "Global Times Network (huanqiu.com)", setup communist propaganda outlet, 5,
2015-09-13, "Youth China Review (2) (youngchina.review)", setup communist propaganda outlet, 5,
2008-10-21, "Youth China Review (1) (youngchina.org)", setup communist propaganda outlet, 5,
2016-12-06, "the Communist Youth League Central Station enters Zhihu.com", Setup Social Media Outlet, 5,
2018-10-01, "the Communist Youth League enters TikTok, fast hands", Setup Social Media Outlet, 5,
2013-12-27, "the Central Committee of the Communist Youth League enters Weibo", Setup Social Media Outlet, 5,
2017-01-15, "the Communist Youth League Central Station stationed at Bilibili.com", Setup Social Media Outlet, 5,
2016-07-12, "the Communist Youth League Central Station settled in WeChat", Setup Social Media Outlet, 5,
2013-01-03, "'Southern Weekend Newspaper' New Year speech incident", rectification of the liberal community, 5,
2018-03-02, "Zhihu.com App has been removed for 7 days", intervening in the Internet market, 5,
2018-07-26, "Bilibili.com was called by officials, promised to double its censorship stuff", intervening in the Internet market, 5,
2018-03-02, "the Douban team was suspended for 3 days", intervening in the Internet market, 5,
2012-03-16, "Major website Sina, Sohu, NetEase, Tencent Weibo enforced real identity system", digital monitoring and wall, 5,
2016-06-01, "'Network Security Law' came into effect on the whole network real identity system", digital monitoring and wall, 5,
2017-10-01, "'Internet Posting Review Service Management Regulations' comments with real identity system", digital monitoring and wall, 5,
2016-07-17, "'Yanhuang Chunqiu' personnel replacement and suspension of publication", rectification of the liberal community, 5,
2017-01-21, "the old website of the Tianze Economic Research Institute was closed", rectifying the liberal community, 5,
2018-02-25, "Xi Jinping revised the constitution to remove the term limit", major historical events, 5,
2012-04-07, "Red China network redchinacn.net", setup communist propaganda outlet, 5,
2019-06-09, "Hong Kong: 1 million people 'anti-extradition bill' parade", major historical events, 5, https://zh.wikipedia.org/wiki/2019%E5%B9%B46%E6%9C%889% E6%97%A5%E5%8F%8D%E5%B0%8D%E9%80%83%E7%8A%AF%E6%A2%9D%E4%BE%8B%E4%BF%AE%E8% A8%82%E8%8D%89%E6%A1%88%E9%81%8A%E8%A1%8C
2019-03-04, "'Wall Street CN' website was punished", intervening in the Internet market, 5,
2019-06-10, "'Wall Street CN' website and App offline rectification", intervention in the Internet market, 5, Shanghai Netcom Office said in its WeChat public account, "Wall Street News" related to "in the case of unqualified, violations The publication of news information, and the content orientation is biased, disrupting the order of Internet information dissemination. Therefore, the person in charge of the interview on Wall Street will be ordered to stop the violations, requesting a comprehensive rectification and a fine." https:// Ec.ltn.com.tw/article/breakingnews/2717038
2019-04-24, "Comment posting service in JinRiTouTiao App (Today Headlines) is rectified", intervention in the Internet market, 5, all-weather technology report https://awtmt.com/articles/3517285?from=wscn
2010-03-23, "Google withdraws from the Chinese market Google.cn, after Google announced on 2010-01-12 will stop reviewing search results on Google.cn", intervening in the Internet market, 5, https://archive.fo /fkCaW
2005-09-25, "'Internet News Information Service Management Regulations' Implemented", Digital Surveillance and Wall, 5,
2012-02-06, "Wang Lijun incident", major historical events, 5, Wang Lijun entered the US Consulate General in Chengdu and filed a political asylum application.
2008-08-08, "the opening of the Beijing Olympic Games", major historical events, 5, the power of the country to run the Beijing Olympic Games to increase international influence.
2008-05-12, "90,000 deaths or disappearances of the Wenchuan earthquake", major historical events, 5, UN report https://www.recoveryplatform.org/assets/publication/UNCRD_Sichuan_Report_2009_CN.pdf
2005-09-01, "The student informant system has been extended to most colleges and even some middle schools to combat academic freedom", 5, https://zh.wikipedia.org/zh-hans/%E5%AD%A6%E7 %94%9F%E4%BF%A1%E6%81%AF%E5%91%98%E5%88%B6%E5%BA%A6
2014-10-15, "Xi Jinping hosted a symposium on literary and art work", cultural and cultural entertainment, 5, news archive https://archive.li/tDTZd
2019-05-23, "'Jinjiang Literature City' was rectified, the scale of novel film writing was tightened", cultural art entertainment, 5,
2000-09-20, "'Internet Information Service Management Measures' implemented", digital monitoring and wall, 5, providing news, publishing, audio-visual, cultural, educational, medical care, medicine, medical equipment services need to apply for an administrative license https:// Archive.li/hf56F
2006-04-01, "Google China established Google.cn", major historical events, 5,
2018-02-27, "Apple China iCloud transfers its operation to 'Cloud in Guizhou'", intervening in the Internet market, 5,
2005-12-29, "'New Beijing News' withdrawal event", rectification of the liberal community, 5, https://zh.wikipedia.org/zh-hans/%E6%96%B0%E4%BA%AC%E6 %8A%A5%E6%92%A4%E7%BC%96%E4%BA%8B%E4%BB%B6
2019-06-03, "Dai Zi, the founder of the 'New Beijing News' was arrested", rectifying the liberal community. 5, the former president of the Beijing News, Dai Zi was arrested insider https://terminus2049.github.io/archive /2019/06/07/dai-zi-geng.html
2011-09-21, "Wukan incident broke out", major historical events, 5,
2008-03-14, "Tibet riots", major historical events, 5, https://zh.wikipedia.org/zh-hans/2008%E5%B9%B4%E8%A5%BF%E8%97%8F%E9 %AA%9A%E4%B9%B1
2009-07-05, "Urumqi July-5th Event", Major Historical Events, 5, https://en.wikipedia.org/zh-hans/%E4%B9%8C%E9%B2%81%E6%9C%A8% E9%BD%90%E4%B8%83%E4%BA%94%E4%BA%8B%E4%BB%B6
2014-03-01, "Kunming Railway Station Terrorist Attack", major historical events, 5, https://zh.wikipedia.org/zh-hans/2014%E5%B9%B4%E6%98%86%E6%98 %8E%E7%81%AB%E8%BD%A6%E7%AB%99%E6%9A%B4%E5%8A%9B%E6%81%90%E6%80%96%E8%A2%AD %E5%87%BB%E4%BA%8B%E4%BB%B6
