date,name,group,impact,description,caption,image,title
1999-12-30,中共地方当局在浙江沿海城市温州附近地区捣毁或没收数百座教堂或祷告场所,基督教,3,中央社，2000.12.15,,,
2000-08-19,根据设在美国康乃狄克州的龚品梅主教基金会消息指出，福建省宗教局和公安局人员8月19日到福建省长乐县金峰镇上陈堂，逮捕正在举行宗教仪式的高依华神父及与会教友，但福建当局并未宣布逮捕理由及拘禁地点。,基督教,3,中央社，2000.8.31,,,
2001-06-30,拘押在黑龙江省哈尔滨市万家劳动教养所的11名法轮功成员遭迫害致死。中国外交部对外宣称死亡人数仅3人，死因为自杀。,法轮功,3,中央社，2001.7.5,,,
2001-06-29,中国公安人员在湖北省马城市白果镇公然凌虐4名法轮功成员致死。,法轮功,3,中央社，2001.6.29,,,
2001-12-30,湖北省荆门市中级人民法院以「邪教」等罪名，将「华南教会」17名负责人判刑，其中2名创办人巩胜亮及李英，分别被判死刑及死刑缓期2年执行，其他15名负责人分别被判处2年至无期徒刑不等。,基督教,3,自由亚洲之声广播电台，2002.1.1,,,
2002-04-10,河北省正定县一座正在修建中的非官方教堂遭中国公安调遣军用坦克摧毁，这间教堂在兴建前曾得到地方政府的批准，但正定县政府有关官员否认有强拆教堂一事。,基督教,3,自由亚洲广播电台，2002.4.16,,,
2004-09-11,蔡卓华因为自费印制圣经等宗教书籍而被捕。他的妻子萧云飞和她的哥哥萧高文、嫂子胡锦云则於9月27号在湖南被捕。中国公安部将此案定性为「建国以来最大的一起境外宗教渗透案」。,基督教,3,美国之音广播电台网站，2005.11.9,,,
2004-12-24,浙江省苍南县出动200名公安武警冲入芦浦镇林家院，把一座当地地下天主教徒准备用来庆祝圣诞节的临时聚会场所拆毁，并抓走了地下神父王仲法。,天主教,3,美国之音广播电台网站，2004.12.27,,,
2005-03-30,教宗若望保禄二世逝世和新教宗本笃十六世上任的时期，地下教会正定教区贾治国主教在3月30日到4月25日期间遭24小时监视。,天主教,3,英国BBC广播电台网站，2005.11.11,,,
2005-04-27,中国逮捕王进山（50岁）、李强（31岁）、刘文元（35岁）、张庆才（45岁）、李素川（40岁）、裴正平（43岁）、尹正松（32岁）等7名河北省正定教区地下天主教会的神职人员。,天主教,3,英国BBC广播电台网站，2005.11.11,,,
2005-08-15,河南省当局出动30多位公安人员突袭了洛阳市一个家庭教会的儿童之家，逮捕了正在聚会的4名美国教会领袖和50多位河南家庭教会的牧师和信徒。其中现年41岁河南省传道人卓涛於9月底被判处3年劳教，监外执行。他是被中国政府定为邪教的全范围教会（又名「重生派」或「哭派」）创办人徐永泽的外甥。,基督教,3,美国之音广播电台网站，2005.10.6,,,
