"说明 & Tips",Date,Confirmed,TotalConfirmed,Deaths,TotalDeaths,Recovered,TotalRecovered,Suspected,TotalSuspected,IntlConfirmed,IntlTotalConfirmed,IntlDeaths,IntlTotalDeaths,HubeiConfirmed,HubeiTotalConfirmed,F2Confirmed,F2Deaths,ForecastConfirmed,ForecastDeaths,Source,ModelConfirm,ModelDeath
,43807,1,1,,0,,0,,,,0,,0,1,1,,,,,,,
,43808,,1,,0,,0,,,,0,,0,,1,,,,,,,
,43809,1,2,,0,,0,,,,0,,0,,1,,,,,,,
,43810,,2,,0,,0,,,,0,,0,,1,,,,,,,
,43811,,2,,0,,0,,,,0,,0,,1,,,,,,,
,43812,1,3,,0,,0,,,,0,,0,,1,,,,,,,
,43813,,3,,0,,0,,,,0,,0,,1,,,,,,,
,43814,2,5,,0,,0,,,,0,,0,,1,,,,,,,
,43815,1,6,,0,,0,,,,0,,0,,1,,,,,,,
,43816,1,7,,0,,0,,,,0,,0,,1,,,,,,,
,43817,,7,,0,,0,,,,0,,0,,1,,,,,,,
,43818,2,9,,0,,0,,,,0,,0,,1,,,,,,,
,43819,4,13,,0,,0,,,,0,,0,,1,,,,,,,
,43820,4,17,,0,,0,,,,0,,0,,1,,,,,,,
,43821,3,20,,0,,0,,,,0,,0,,1,,,,,,,
,43822,4,24,,0,,0,,,,0,,0,,1,,,,,,,
,43823,,24,,0,,0,,,,0,,0,,1,,,,,,,
,43824,4,28,,0,,0,,,,0,,0,,1,,,,,,,
,43825,1,29,,0,,0,,,,0,,0,,1,,,,,,,
,43826,3,32,,0,,0,,,,0,,0,,1,,,,,,,
,43827,2,34,,0,,0,,,,0,,0,,1,,,,,,,
,43828,6,40,,0,,0,,,,0,,0,,1,,,,,,,
,43829,5,45,,0,,0,,,,0,,0,,1,,,,,,,
,43830,2,47,,0,,0,,,,0,,0,26,27,,,,,http://www.caixin.com/2020-01-20/101506242.html,,
,43831,10,57,,0,,0,,,,0,,0,,27,,,,,,,
,43832,7,64,,0,,0,,,,0,,0,,27,,,,,,,
,43833,13,77,,0,,0,,,,0,,0,17,44,,,,,http://www.caixin.com/2020-01-20/101506242.html,,
,43834,13,90,,0,,0,,,,0,,0,15,59,,,,,http://www.caixin.com/2020-01-20/101506242.html,,
,43835,15,105,,0,,0,,,,0,,0,,59,,,,,,,
,43836,19,124,,0,,0,,,,0,,0,,59,,,,,,,
,43837,31,155,,0,,0,,,,0,,0,,59,,,,,,,
,43838,44,199,,0,,0,,,,0,,0,,59,,,,,,,
,43839,32,231,1,1,,0,,,,0,,0,,59,,,,,,,
,43840,33,264,,1,,0,,,,0,,0,-17,42,,,,,http://www.caixin.com/2020-01-20/101506242.html,0.17646559969747452,0.16016212055917686
,43841,33,297,,1,2,2,,,,0,,0,,42,,,,,,-7735.6037096465225,-7022.208931852299
,43842,30,327,,1,4,6,,,,0,,0,,42,,,,,,,
,43843,22,349,,1,,6,,,1,1,,0,,42,,,,,,,
,43844,23,372,,1,,6,,,,1,,0,,42,,,,,,0.104393395663217,0.098379346986585
,43845,23,395,1,2,1,7,,,1,2,,0,,42,,,,,,-4574.71474084888,-4312.59617786756
,43846,12,407,1,3,5,12,,,,2,,0,4,46,,,51,2,,,
,43847,6,413,,3,3,15,,,1,3,,0,17,63,,,76,3,,,
,43848,6,419,,3,4,19,,,,3,,0,59,122,,,115,4,,,
,43849,2,421,1,4,6,25,,,,3,,0,77,199,,,172,5,,,
,43850,3,424,2,6,,25,,54,1,4,,0,72,271,,,259,8,,,
,43851,17,441,3,9,,25,,37,2,6,,0,105,376,,,388,11,,,
"D,F,H,L列的累计数字",43852,131,572,8,17,,25,,257,3,9,,0,69,445,,,583,17,,,
由公式自动计算,43853,259,831,8,25,9,34,,1072,6,15,,0,105,550,,,875,24,,,
,43854,444,1275,16,41,4,38,,1965,16,31,,0,180,730,,,1314,35,,,
见顶部内容框中公式,43855,700,1975,15,56,11,49,1309,2684,11,42,,0,323,1053,,,1973,50,http://finance.eastmoney.com/a/202001261367923510.html,,
,43856,769,2744,24,80,2,51,3806,5794,14,56,,0,371,1424,,,2962,73,http://finance.eastmoney.com/a/202001271368097933.html,,
"只需更新列C,E,G,K的新增数据",43857,1771,4515,26,106,9,60,2077,6973,9,65,,0,1291,2715,4639,106,4447,105,https://m.yicai.com/brief/100482546.html,,
疑似病例无累加公式,43858,1459,5974,26,132,43,103,,9239,19,84,,0,840,3555,5899,133,6677,152,http://www.xinhuanet.com/politics/2020-01/29/c_1125509249.htm,,
,43859,1737,7711,38,170,21,124,4148,12167,17,101,,0,1032,4587,7502,167,10024,220,http://www.nhc.gov.cn/xcs/yqfkdt/202001/e71bd2e7a0824ca69f87bbf1bef2a3c9.shtml,,
日期格式需严格遵守顶部内容框显示,43860,1981,9692,43,213,47,171,4812,15238,28,129,,0,1220,5807,9541,210,15048,317,https://archive.md/S6adq,,
日期北京时间为准,43861,2099,11791,46,259,72,243,5019,17988,24,153,,0,1346,7153,12134,263,22592,459,https://archive.md/eObph,,
source必须是url,43862,2590,14381,45,304,85,328,4562,19544,17,170,1,1,1921,9074,15430,330,33918,664,https://m.yicai.com/brief/100485595.html,,
,43863,2825,17206,57,361,147,475,5173,21558,12,182,,1,2103,11177,19623,414,50920,960,https://archive.md/gSIrv,,
,43864,3235,20441,64,425,157,632,5072,23214,4,186,,1,2345,13522,24956,519,76446,1388,https://m.yicai.com/news/100488231.html,,
,43865,89,20530,,425,120,752,,,30,216,1,2,,13522,31737,651,,,,,
,43866,,,,,,,,,,,,,,,40360,817,,,,,
,43867,,,,,,,,,,,,,,,51327,1025,,,,,
